breed,breed_size,sex,age,weight_lbs,spay_neuter_status,daily_activity_level,diet,food_brand,daily_walk_distance_miles,other_pets_in_household,medications,seizures,hours_of_sleep,play_time_hrs,owner_activity_level,annual_vet_visits,average_temperature_f,healthy
Australian Shepherd,Medium,Male,3,60,Neutered,None,Special diet,Wellness,5,No,Yes,No,12,1,Active,1,30,Yes
Chihuahua,Small,Female,12,67,Neutered,Active,Home cooked,Special,1,Yes,No,No,10,1,Low,0,92,Yes
Siberian Husky,Medium,Male,13,35,None,Very Active,Home cooked,Special,4,No,No,No,12,1,None,1,75,Yes
Boxer,Medium,Male,13,35,None,Very Active,Wet food,Purina,3,Yes,Yes,No,9,1,None,0,64,No
Australian Shepherd,Medium,Female,2,42,None,Very Active,Wet food,Iams,0,Yes,No,No,11,3,None,2,85,Yes
Labrador Retriever,Large,Male,8,49,None,None,Special diet,Blue Buffalo,2,No,No,No,8,1,Low,0,53,Yes
Boxer,Medium,Female,11,66,Neutered,None,Home cooked,Special,2,No,Yes,Yes,9,2,Low,2,85,No
Australian Shepherd,Medium,Male,12,28,Neutered,Moderate,Special diet,Royal Canin,2,Yes,Yes,No,11,2,Moderate,0,65,No
Bulldog,Medium,Female,11,49,Neutered,None,Wet food,Wellness,3,No,Yes,No,11,1,None,0,38,No
Rottweiler,Large,Male,2,64,Spayed,Very Active,Hard food,Blue Buffalo,3,Yes,Yes,No,11,2,Active,1,87,Yes
Siberian Husky,Medium,Female,10.2,20,Neutered,Low,Hard food,Blue Buffalo,2,Yes,Yes,No,13,3,Active,1,78,No
German Shepherd,Large,Female,10,56,Spayed,None,Hard food,Royal Canin,3,Yes,No,No,10,2,Low,1,90,Yes
Poodle,Small,Male,13,48,Spayed,Very Active,Hard food,Wellness,3,No,No,Yes,8,2,None,4,54,Yes
Doberman,Large,Male,4,66,Spayed,Very Active,Hard food,Royal Canin,2,No,No,No,11,1,None,1,77,Yes
Boxer,Medium,Female,2,46,Spayed,Active,Special diet,Nutro,2,No,Yes,No,8,2,Moderate,1,48,Yes
Bulldog,Medium,Female,11,87,None,Low,Special diet,Purina,3,No,No,No,13,2,Active,0,70,No
Great Dane,Large,Female,11,44,None,None,Hard food,Purina,4,Yes,No,No,10,1,Active,0,63,No
Poodle,Small,Female,7,46,Neutered,Very Active,Wet food,Wellness,3,Yes,No,No,11,0,Active,2,70,Yes
Chihuahua,Small,Male,3,26,None,None,Special diet,Iams,3,No,Yes,No,12,1,Very Active,1,82,Yes
German Shepherd,Large,Female,11,38,Spayed,Very Active,Wet food,Purina,1,Yes,No,No,12,1,Moderate,1,100,Yes
Bulldog,Medium,Male,9,65,Neutered,None,Special diet,Wellness,3,No,No,No,12,1,Very Active,2,74,Yes
Great Dane,Large,Male,6,65,None,Low,Special diet,Blue Buffalo,1,Yes,Yes,No,8,1,Moderate,1,74,Yes
Chihuahua,Small,Male,10,15,Neutered,Moderate,Wet food,Wellness,3,No,Yes,No,8,3,Moderate,1,72,No
Beagle,Small,Male,11,52,Neutered,Active,Special diet,Nutro,4,Yes,Yes,No,11,1,Active,0,75,Yes
Poodle,Small,Female,13,32,Neutered,Moderate,Wet food,Pedigree,4,No,No,No,13,2,Low,2,66,Yes
Siberian Husky,Medium,Female,13,26,None,Very Active,Hard food,Hill's Science,5,No,No,No,10,1,Very Active,2,54,Yes
Rottweiler,Large,Male,2,66,Neutered,Active,Home cooked,Special,1,Yes,Yes,No,14,1,Moderate,1,43,Yes
Poodle,Small,Male,13,46,Neutered,Moderate,Hard food,Iams,0,No,No,No,10,2,Active,2,61,Yes
German Shepherd,Large,Female,5,63,Neutered,None,Special diet,Nutro,4,No,No,No,10,2,Moderate,0,61,Yes
Rottweiler,Large,Female,13,43,None,None,Special diet,Nutro,4,No,Yes,No,11,1,None,3,33,No
Australian Shepherd,Medium,Male,10,69,Spayed,Very Active,Hard food,Wellness,1,No,No,No,10,3,Very Active,4,52,Yes
Australian Shepherd,Medium,Male,8,56,None,Low,Special diet,Wellness,3,No,No,No,12,2,Low,2,82,Yes
Bulldog,Medium,Male,2,58,Neutered,Active,Wet food,Wellness,2,No,Yes,No,9,1,Active,2,70,Yes
Siberian Husky,Medium,Female,4,69,None,None,Hard food,Purina,2,Yes,No,Yes,11,0,Active,1,40,No
Rottweiler,Large,Female,13,27,Neutered,Very Active,Home cooked,Special,0,Yes,Yes,No,13,1,Active,2,99,Yes
Golden Retriever,Large,Female,9,65,Spayed,Moderate,Wet food,Purina,3,Yes,Yes,No,9,2,Active,2,48,No
Dachshund,Small,Male,10,51,Neutered,Low,Wet food,Wellness,3,Yes,No,No,12,2,Very Active,2,93,Yes
Australian Shepherd,Medium,Female,12,59,Neutered,None,Home cooked,Special,6,No,No,Yes,10,2,Low,1,68,Yes
Poodle,Small,Female,9,31,Neutered,Low,Special diet,Pedigree,4,No,No,No,13,2,Moderate,0,55,Yes
Bulldog,Medium,Female,12,33,Spayed,Moderate,Wet food,Wellness,3,Yes,Yes,No,12,3,Very Active,0,61.6,No
Great Dane,Large,Male,2,69,None,None,Hard food,Wellness,1,No,No,No,11,0,Moderate,1,67,Yes
Yorkshire Terrier,Small,Female,2,45,Neutered,Low,Hard food,Wellness,3,No,No,No,9,1,None,0,74,Yes
Golden Retriever,Large,Male,4,64,None,Active,Wet food,Royal Canin,5,No,No,No,12,1,Moderate,2,69,Yes
Chihuahua,Small,Female,13,10,None,Low,Wet food,Blue Buffalo,0,Yes,No,No,13,1,Very Active,0,54,No
Great Dane,Large,Female,12,41,Spayed,Moderate,Hard food,Blue Buffalo,3,Yes,No,No,10,1,None,0,56,No
Rottweiler,Large,Female,9.6,48,Spayed,None,Wet food,Pedigree,4,No,No,No,12,0,Moderate,0,49,No
Poodle,Small,Female,9,61,None,Active,Special diet,Nutro,1,No,No,No,10,2,Active,0,47,Yes
Siberian Husky,Medium,Female,8,49,Neutered,Active,Wet food,Hill's Science,3,No,No,No,13,2,Low,1,80,Yes
Rottweiler,Large,Female,11,59,Spayed,Moderate,Hard food,Iams,1,Yes,Yes,No,10,1,Active,0,40,No
German Shepherd,Large,Female,5,46,None,Moderate,Wet food,Hill's Science,3,No,Yes,No,10,3,Active,3,75,No
Poodle,Small,Female,7,34,None,None,Special diet,Wellness,1,Yes,Yes,No,12,1,None,1,73,Yes
Boxer,Medium,Female,12,45,Spayed,None,Wet food,Nutro,4,No,Yes,Yes,12,3,Active,1,74,No
Labrador Retriever,Large,Female,8,60,Spayed,None,Wet food,Iams,3,No,Yes,No,11,2,Very Active,1,43,Yes
German Shepherd,Large,Female,2,77,Spayed,Moderate,Hard food,Iams,2,No,No,No,11,1,Very Active,4,45,Yes
Labrador Retriever,Large,Female,6,62,Spayed,Low,Hard food,Wellness,2,No,No,No,10,1,Moderate,2,64,Yes
Poodle,Small,Male,7,66,Neutered,None,Wet food,Hill's Science,2,Yes,No,No,10,1,None,3,50,Yes
Doberman,Large,Male,8,42,Neutered,Low,Special diet,Purina,3,Yes,No,No,12,2,Moderate,3,64,Yes
Bulldog,Medium,Male,12,62,Neutered,Moderate,Wet food,Iams,0,Yes,No,Yes,9,1,Very Active,1,68,No
Golden Retriever,Large,Male,1,75,Spayed,Active,Wet food,Blue Buffalo,2,No,Yes,No,12,0,None,0,44,No
Labrador Retriever,Large,Female,4,40,Neutered,Very Active,Hard food,Purina,3,No,No,No,13,0,Active,2,57,Yes
Australian Shepherd,Medium,Male,8,63,None,None,Hard food,Blue Buffalo,3,Yes,No,No,10,3,Very Active,0,54,No
Beagle,Small,Female,13,41,None,Active,Wet food,Purina,4,No,No,No,12,1,Active,0,69,No
Yorkshire Terrier,Small,Male,11,63,Spayed,Low,Hard food,Iams,3,No,No,No,12,1,None,0,55,Yes
Boxer,Medium,Male,5,38,Neutered,Active,Hard food,Royal Canin,2,Yes,No,No,12,3,Active,3,35,Yes
Labrador Retriever,Large,Male,10,52,None,Low,Home cooked,Special,2,No,Yes,Yes,10,2,Low,3,50,No
Golden Retriever,Large,Female,5,71,Spayed,Moderate,Home cooked,Special,2,Yes,No,No,10,2,Low,1,66.6,Yes
Beagle,Small,Male,9,30,Neutered,Moderate,Hard food,Purina,2,Yes,Yes,No,11,0,Active,4,59,No
Golden Retriever,Large,Male,1,35,None,None,Hard food,Royal Canin,6,Yes,Yes,No,14,1,Active,1,64,No
Boxer,Medium,Female,10,41,None,Very Active,Special diet,Royal Canin,5,Yes,Yes,No,11,3,Active,2,78,Yes
Doberman,Large,Female,9,51,None,Moderate,Special diet,Blue Buffalo,2,No,Yes,No,9,2,Active,1,75,No
Dachshund,Small,Female,13,62,Neutered,Low,Hard food,Wellness,4,Yes,Yes,No,12,2,None,0,68,No
Dachshund,Small,Female,10,55,Spayed,Moderate,Home cooked,Special,1,Yes,Yes,No,12,2,None,4,53,Yes
Golden Retriever,Large,Female,9,60,Neutered,None,Home cooked,Special,2,No,No,No,11,1,None,1,79,Yes
Australian Shepherd,Medium,Female,13,84,Spayed,Low,Home cooked,Special,2,No,Yes,No,13,1,Very Active,0,78,No
Yorkshire Terrier,Small,Female,13,14,Neutered,None,Special diet,Wellness,2,Yes,Yes,No,12,1,Moderate,3,78.2,No
Beagle,Small,Female,6,56,Spayed,Moderate,Wet food,Royal Canin,4,No,No,No,12,2,None,0,86,Yes
Yorkshire Terrier,Small,Male,2,29,Spayed,None,Hard food,Nutro,1,No,Yes,No,10,3,Very Active,3,66,Yes
Bulldog,Medium,Male,11,34,Spayed,Moderate,Home cooked,Special,2,Yes,No,Yes,9,3,Low,3,66,Yes
Boxer,Medium,Male,9,57,None,Very Active,Home cooked,Special,3,No,Yes,No,12,1,Moderate,1,53,Yes
Rottweiler,Large,Male,11,71,Neutered,Very Active,Special diet,Iams,5,Yes,No,No,14,1,Moderate,1,75,Yes
Yorkshire Terrier,Small,Male,12,73,Neutered,Very Active,Home cooked,Special,2,Yes,No,No,10,2,Low,0,84,Yes
Great Dane,Large,Female,8.8,57,Spayed,Low,Special diet,Nutro,3,Yes,Yes,Yes,10,3,None,1,42,No
Dachshund,Small,Male,7,91,Spayed,Very Active,Home cooked,Special,2,Yes,Yes,No,11,0,Very Active,1,53,Yes
Poodle,Small,Male,1,30,None,Active,Wet food,Blue Buffalo,3,Yes,No,No,11,2,Moderate,2,78,Yes
Dachshund,Small,Male,9,22,Neutered,None,Home cooked,Special,3,Yes,Yes,No,9,1,Low,1,98,No
Australian Shepherd,Medium,Female,12,43,None,Very Active,Special diet,Royal Canin,2,No,Yes,No,10,2,Active,1,92,Yes
Poodle,Small,Male,1,48,Spayed,Low,Wet food,Hill's Science,5,Yes,No,No,12,0,Active,0,66,No
Golden Retriever,Large,Male,2,43,Neutered,Low,Wet food,Pedigree,2,Yes,Yes,No,14,0,Moderate,1,58,Yes
Australian Shepherd,Medium,Male,3,76,Neutered,Moderate,Wet food,Purina,3,Yes,No,No,8,3,Active,2,76,Yes
Australian Shepherd,Medium,Female,5.8,53,Neutered,Moderate,Special diet,Wellness,5,Yes,No,No,14,0,Active,3,58,Yes
Rottweiler,Large,Female,3,32,Neutered,None,Wet food,Royal Canin,4,No,No,No,10,1,Very Active,0,77,Yes
German Shepherd,Large,Female,10,37,Neutered,Very Active,Wet food,Hill's Science,3,No,No,No,11,2,Moderate,2,79,Yes
Australian Shepherd,Medium,Female,4,56,Neutered,Active,Special diet,Iams,3,Yes,No,No,9,0,None,1,36,Yes
Chihuahua,Small,Female,9,76,Neutered,Low,Special diet,Purina,0,Yes,Yes,No,13,3,Low,1,31,Yes
Siberian Husky,Medium,Male,3,33,Spayed,None,Special diet,Blue Buffalo,2,Yes,Yes,No,10,2,Low,1,65,Yes
Poodle,Small,Male,5,33,Spayed,Low,Wet food,Purina,4,No,Yes,No,10,1,Moderate,1,37,Yes
Boxer,Medium,Male,5,38,None,Moderate,Home cooked,Special,4,No,Yes,No,12,2,None,2,50,Yes
Yorkshire Terrier,Small,Male,12,40,None,Low,Special diet,Purina,2,Yes,No,No,11,4,Active,1,78,Yes
Doberman,Large,Male,10,54,None,Very Active,Special diet,Purina,3,Yes,Yes,No,11,3,None,1,39,Yes
Golden Retriever,Large,Female,2,65,Neutered,Low,Special diet,Blue Buffalo,1,No,Yes,Yes,9,0,Very Active,0,50,No
Bulldog,Medium,Male,7,61,None,Active,Special diet,Iams,5,No,No,No,11,2,Low,0,53,Yes
Labrador Retriever,Large,Male,2,57,Neutered,Active,Home cooked,Special,0,No,Yes,No,10,1,Low,1,70,Yes
Bulldog,Medium,Female,8,38,Neutered,Moderate,Hard food,Pedigree,2,Yes,No,No,9,1,None,2,77,Yes
Siberian Husky,Medium,Male,7,39,Spayed,Very Active,Special diet,Purina,3,No,Yes,No,12,1,Very Active,2,60,Yes
Chihuahua,Small,Female,8,45,Neutered,Moderate,Wet food,Royal Canin,2,No,No,No,12,2,Very Active,0,94,Yes
Siberian Husky,Medium,Male,1,61,Neutered,Active,Wet food,Wellness,1,No,No,No,12,2,Moderate,1,69,Yes
Australian Shepherd,Medium,Male,5,43,Neutered,None,Special diet,Purina,5,No,Yes,No,12,0,Active,4,82,Yes
Yorkshire Terrier,Small,Female,8,92,None,Moderate,Special diet,Royal Canin,2,Yes,Yes,No,11,3,None,1,55,No
Doberman,Large,Female,9,46.8,Spayed,None,Hard food,Iams,2,Yes,No,No,13,0,Very Active,1,58,Yes
Bulldog,Medium,Female,9,25,Spayed,Very Active,Home cooked,Special,3,No,Yes,No,13,1,Active,2,100,Yes
Great Dane,Large,Female,11,60,Spayed,Active,Home cooked,Special,1,No,No,No,12,1,Very Active,2,75,Yes
Poodle,Small,Male,8,66,Neutered,Active,Home cooked,Special,1,No,Yes,No,13,2,None,0,72,Yes
